,0,1
1384,seem_like,242
1385,select,813
1386,self-centered,18
1387,send,2560
1388,sense,1326
1389,sentence,465
1390,separate,1696
1391,separate_from,693
1392,separation,258
1393,serious,552
1394,serve,1078
1395,service,1197
1396,set,1259
1397,set_foot,43
1398,settlement,152
1399,several,1054
1400,several_hundred,155
1401,several_time,477
1402,shadow,154
1403,share,1426
1404,shave,733
1405,shaven_head,44
1406,shed,237
1407,sheet,448
1408,ship,1557
1409,shock,843
1410,shocking,207
1411,shoe,1581
1412,shoe_store,83
1413,shoot,1998
1414,short_while,214
1415,shortly_before,267
1416,show,2324
1417,shower,923
1418,shower_room,91
1419,shunt,27
1420,shut,285
1421,sibling,440
1422,sick,1810
1423,sicker,46
1424,sickness,489
1425,side,2241
1426,sign,1719
1427,simply,594
1428,since,1979
1429,sind,36
1430,sing,1006
1431,singing,742
1432,sister,2296
1433,sit,2268
1434,sit_around,326
1435,situation,1625
1436,six,1969
1437,six-year-old,52
1438,six_month,1053
1439,six_year,909
1440,size,758
1441,skirt,303
1442,slat,34
1443,sleep,2185
1444,sleep_quarter,48
1445,sleet,15
1446,slice,196
1447,slice_of,326
1448,slipped,7
1449,smack,118
1450,small,2148
1451,small_child,479
1452,smaller,780
1453,smuggle,664
1454,so-called,717
1455,so_forth,618
1456,social,541
1457,socialist,227
1458,socialize,138
1459,society,629
1460,sock,396
1461,soldier,1994
1462,solid,211
1463,some_kind,1225
1464,somebody,2353
1465,somebody_else,1123
1466,someday,253
1467,somehow,1785
1468,someone,1212
1469,someplace,751
1470,somersault,7
1471,something,2600
1472,something_else,994
1473,something_like,1488
1474,someway,29
1475,somewhat,507
1476,somewhere,1583
1477,son,2061
1478,song,816
1479,sophisticated,116
1480,sorry,1802
1481,soup,1260
1482,south,696
1483,spark,102
1484,speak,2491
1485,speak_Czech,76
1486,speak_German,705
1487,speak_german,582
1488,speaking,327
1489,special,1813
1490,spectacle,31
1491,speech,751
1492,spend,1846
1493,spinster,47
1494,spirit,473
1495,splitting,32
1496,spoil,405
1497,spoon,357
1498,sport,558
1499,spread,545
1500,spring,790
1501,stable,349
1502,stadium,90
1503,stage,668
1504,stair,402
1505,stand,2284
1506,stand_outside,254
1507,standing,883
1508,start,2607
1509,start_cry,312
1510,station,1502
1511,stay,2595
1512,stay_behind,289
1513,stay_together,437
1514,step_out,227
1515,still,2599
1516,stocking,186
1517,stomach,599
1518,stooge,3
1519,stop,2394
1520,story,2355
1521,strange,895
1522,strategic,57
1523,straw,819
1524,street,2306
1525,street_car,145
1526,streetcar,239
1527,strength,933
1528,stress,233
1529,strip,449
1530,strong,1337
1531,study,1586
1532,stuff,1445
1533,stupid,671
1534,subconscious,54
1535,subject,949
1536,succeed,540
1537,suddenly,975
1538,suffer,1314
1539,sufficient,165
1540,suit,724
1541,suitcase,666
1542,summer,1534
1543,superb,41
1544,supervisor,289
1545,supervisory,20
1546,support,1228
1547,support_each,50
1548,suppose,2065
1549,supposedly,445
1550,sure,2304
1551,surprise,924
1552,survive,2326
1553,sustain,173
1554,swastika,319
1555,sway,53
1556,swear,361
1557,sweetheart,71
1558,swim,526
1559,synagogue,1626
1560,system,851
1561,tag,100
1562,take,2656
1563,takeover,46
1564,talk,2512
1565,talk_about,2431
1566,tape,1949
1567,tape-record,1
1568,taping,32
1569,tea,550
1570,teach,1920
1571,teacher,1762
1572,teaching,598
1573,technologically,5
1574,technology,85
1575,teenager,544
1576,teens,91
1577,tell,2654
1578,temperature,258
1579,temple,531
1580,tend_to,233
1581,terrible,1776
1582,terribly,685
1583,terror,228
1584,than_i.,73
1585,thank_God,672
1586,thank_god,124
1587,thank_you,2118
1588,these_corpse,13
1589,these_people,1725
1590,thing,2625
1591,think,2653
1592,third,1444
1593,thirsty,226
1594,thirteen_year,63
1595,this_country,1065
1596,this_particular,632
1597,those_day,978
1598,though,1308
1599,thought,1085
1600,thousand,1436
1601,three,2490
1602,three-layer,1
1603,throw,1912
1604,ticket,833
1605,tight,257
1606,til_',32
1607,till,1208
1608,till_1942,48
1609,time,2658
1610,toast,90
1611,today,2178
1612,together,2498
1613,toleran,1
1614,tolerance,81
1615,tomorrow,1086
1616,too_much,1789
1617,too_young,753
1618,torment,58
1619,toss-up,5
1620,touch,1491
1621,tour,315
1622,toward,697
1623,towards,1319
1624,town,2279
1625,track,675
1626,trade,965
1627,traffic,230
1628,train,2389
1629,trained,90
1630,trainload,46
1631,transla,3
1632,transport,1565
1633,traumatic,146
